category_type,category,label,samples
generator,video_mps_multiple_bitrate_2035a8da-e573-4bc2-b6d7-0a32bcc1ba94,spoof,1
generator,video_mps_multiple_bitrate_1f12d8d7-583d-463f-a0b8-123cf618ae46,spoof,1
generator,video_mps_multiple_bitrate_1da7e87d-0577-420d-ae79-c9b360404271,spoof,1
generator,video_mps_multiple_bitrate_1d8f63c7-552d-4a65-9cef-063827c74428,spoof,1
generator,video_mps_multiple_bitrate_1c382810-0ad5-4697-97cf-273f6eec913d,spoof,1
generator,video_mps_multiple_bitrate_1c20a8d5-c144-48e2-a672-37a01e68cd9e,spoof,1
generator,video_mps_multiple_bitrate_1c06f384-3cb6-4cc6-9aa0-65304c65d119,spoof,1
generator,video_mps_multiple_bitrate_0c0b7989-50af-4903-beb4-e7490f81ff15,spoof,1
generator,video_mps_multiple_bitrate_09a72fca-23ef-4853-888f-cc8af8270c0a,spoof,1
generator,video_mps_multiple_bitrate_775c8e93-3af0-4583-9c1b-b30720cd3c33,spoof,1
generator,c411b980-4ac2-54e8-af3c-cfed09aeff9d,spoof,1
generator,b389d971-4318-584d-b890-9b1ac8b59ff8,spoof,1
generator,acb9ae9e-0efd-5cff-94ac-f84b1a7e2b26,spoof,1
generator,ab58a5f9-9c48-5826-b1a5-d93403fb0aff,spoof,1
generator,a16203fc-d04e-5cd5-9e4d-9baf6c0cce6a,spoof,1
generator,95b013df-8923-50d3-9707-d5d1416eb835,spoof,1
generator,954355ae-eaeb-5661-bd5c-274f66d23755,spoof,1
generator,837aff85-4b10-5d9f-8ba3-9bb0d5089da9,spoof,1
generator,68631a47-db38-52ce-9dfd-449e01efbff3,spoof,1
generator,5d8b2de3-f1c7-5557-8e35-1ca5f2965d58,spoof,1
generator,5bc4681e-1533-52ab-a252-b57f9ad31def,spoof,1
generator,4df3b1ea-897b-5b57-94fc-254f5f123f71,spoof,1
generator,4c1213a3-b756-51b5-a2db-1aad18759017,spoof,1
generator,34b7d8f5-8119-52de-a39b-80d91868b2e5,spoof,1
generator,294fbbbe-3c34-55ad-b561-59b455bdfac0,spoof,1
generator,26513259-b549-5170-abb2-a4ebfdecc4bb,spoof,1
generator,b5e579c2-a13f-58ac-b42a-7774e92a7083,spoof,1
generator,d4404a65-7ad3-5dca-809c-a8f4191d1666,spoof,1
generator,video_mps_multiple_bitrate_098ac2a8-06d0-4f58-83c7-e615a80bc510,spoof,1
generator,d70b9966-d876-5c6f-a0a1-0a1693e86765,spoof,1
generator,video_mps_multiple_bitrate_0827537d-047d-4358-a125-03d30f31e23e,spoof,1
generator,video_mps_multiple_bitrate_07b34d12-2098-4d67-9acb-5ee0150d7545,spoof,1
generator,video_mps_multiple_bitrate_07482698-9e7c-4c15-b7c4-f77c8a3a3c54,spoof,1
generator,video_mps_multiple_bitrate_06e1735f-585e-4888-ae93-d8d3e53e9e87,spoof,1
generator,video_mps_multiple_bitrate_06709b87-f813-47b8-b78d-691545a2cb17,spoof,1
generator,video_mps_multiple_bitrate_06643583-f3b4-43cd-84a1-e501e97a0221,spoof,1
generator,video_mps_multiple_bitrate_05869cad-992a-4f97-a0a5-5b3b6ba183fb,spoof,1
generator,video_mps_multiple_bitrate_04744a49-f775-4022-bf4c-04c82ee3dbd9,spoof,1
generator,video_mps_multiple_bitrate_0348dfed-6cde-4e1d-93aa-fe041f240271,spoof,1
generator,video_mps_multiple_bitrate_02e9dcf3-4004-43b8-a6d8-a5577f14dd0d,spoof,1
generator,video_mps_multiple_bitrate_02270a72-2d75-4f79-9612-274643695a7b,spoof,1
generator,video_mps_multiple_bitrate_01888ccb-9c74-4c38-a9b1-f2d594a13143,spoof,1
generator,ee812eb7-124e-53f9-bd70-7eafe68faecb,spoof,1
generator,eda8c3dc-a19e-5d59-9ea9-332c45ba90a8,spoof,1
generator,ec0d69a5-2134-5b58-8b90-af0e26d112a5,spoof,1
generator,video_mps_multiple_bitrate_2a65ad62-0c4a-4669-bd83-dce1358d441c,spoof,1
generator,video_mps_multiple_bitrate_2bf2b64a-1189-4ee8-98b0-ca329666b41e,spoof,1
generator,video_mps_multiple_bitrate_2cd03d58-7cee-4c23-af89-195ae58b5278,spoof,1
generator,video_mps_multiple_bitrate_652a9936-b863-48e6-90a9-4ca26e8b7208,spoof,1
generator,video_mps_multiple_bitrate_60d59c41-ac44-45ed-9f4a-e1afe63fdd35,spoof,1
generator,video_mps_multiple_bitrate_5ef2289e-22ad-405e-8776-c2d6d050a3f8,spoof,1
generator,video_mps_multiple_bitrate_5dcc662f-5782-424f-87d7-b9745c3dd566,spoof,1
generator,video_mps_multiple_bitrate_5db428c2-0ac0-4e86-a0ac-dcc62f2f9df3,spoof,1
generator,video_mps_multiple_bitrate_5b089e35-1778-4f4c-9f62-9b023206f363,spoof,1
generator,video_mps_multiple_bitrate_5a75b6fd-4f84-4976-8271-5c3f697c8dba,spoof,1
generator,video_mps_multiple_bitrate_5a73925c-5279-4d0b-a5ae-8912aea51b10,spoof,1
generator,video_mps_multiple_bitrate_58e2d1f6-303b-4157-affc-a9cb1c4bad02,spoof,1
generator,video_mps_multiple_bitrate_58c702c2-1939-4d5a-badc-7d1951baeddd,spoof,1
generator,video_mps_multiple_bitrate_57df9bca-a7ad-4e36-ad31-9707ad598aef,spoof,1
generator,video_mps_multiple_bitrate_55be812e-068b-4171-b7d0-f011797504aa,spoof,1
generator,video_mps_multiple_bitrate_557a1821-19d4-4a71-aeaa-852c705b6403,spoof,1
generator,video_mps_multiple_bitrate_550e42d1-68a6-40c3-b7ee-e111dfb14476,spoof,1
generator,video_mps_multiple_bitrate_549aea61-e47c-4f7c-a7a5-0921bb08f014,spoof,1
generator,video_mps_multiple_bitrate_53c6c06d-4db9-4ab8-ae99-b8aa3e90ce54,spoof,1
generator,video_mps_multiple_bitrate_635a7303-bd47-4c7f-878e-222709111516,spoof,1
generator,video_mps_multiple_bitrate_65324eb0-7794-4c60-8dd1-185df57206da,spoof,1
generator,video_mps_multiple_bitrate_2df23636-efa6-45f4-8a0b-fde72de9137c,spoof,1
generator,video_mps_multiple_bitrate_66599cf3-1315-4e5c-bbc0-fba61f3fcfb5,spoof,1
generator,video_mps_multiple_bitrate_7692215e-b0fd-4220-9171-febb46e379aa,spoof,1
generator,video_mps_multiple_bitrate_73696b93-2b3d-47a3-be78-62d128a31025,spoof,1
generator,video_mps_multiple_bitrate_7361d19a-784b-4454-b22e-a03489fbdd85,spoof,1
generator,video_mps_multiple_bitrate_72391cf2-3b99-45ee-bb95-386b2e89524e,spoof,1
generator,video_mps_multiple_bitrate_719d51a9-2f15-46ca-8c4c-8d9e07496a50,spoof,1
generator,video_mps_multiple_bitrate_7133ff3e-4957-43c9-b628-83f038799bf4,spoof,1
generator,video_mps_multiple_bitrate_6efd5ea6-0efb-484d-b6e6-16149351da73,spoof,1
generator,video_mps_multiple_bitrate_6c5c29b5-a57c-4f88-803d-46e4f49ff3a4,spoof,1
